Rep,Well,PB2,PB1,PA,HA,NP,NA,M,NS,PB2.Helper,PB1.Helper
5,G08,0,0,0,0,0,0,0,0,1,1
5,G09,0,0,0,0,0,0,0,0,1,1
5,G10,0,0,0,0,0,0,0,0,1,1
5,G11,0,1,1,1,1,1,1,1,1,1
5,G12,0,0,0,0,0,0,0,0,1,1
5,H01,,,,,,,,,,
5,H02,,,,,,,,,,
5,H03,0,0,0,0,0,0,0,0,0,0
5,H04,0,0,0,0,0,0,1,0,1,1
5,H05,0,0,0,0,1,1,1,1,1,1
5,H06,,,,,,,,,,
5,H07,,,,,,,,,,
5,H08,1,0,0,0,1,1,1,1,1,1
5,H09,0,0,0,0,0,0,0,0,1,1
5,H10,0,0,0,0,0,0,0,0,1,1
5,H11,,,,,,,,,,
5,H12,,,,,,,,,,
