"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.2,0,0,0,0,1,1,0,0,2,1064,0.0018796992481203,0.0018796992481203
"DF1",0.2,0,0,0,2,1,0,0,0,3,894,0.00335570469798658,0.00335570469798658
"DF1",0.2,2,3,0,12,35,2,14,10,78,6397,0.0121932155697983,0.0121932155697983
"DF1",0.2,0,0,0,0,0,0,1,2,3,3188,0.000941028858218319,0.000941028858218319
"DF1",0.2,1,2,1,162,21,11,12,25,235,767,0.30638852672751,0.30638852672751
"DF1",0.2,0,0,0,1,1,0,0,1,3,1543,0.00194426441996111,0.00194426441996111
"DF1",0.2,0,0,0,0,0,0,0,2,2,1977,0.00101163378856854,0.00101163378856854
"DF1",0.2,0,0,0,0,0,0,0,1,1,1381,0.000724112961622013,0.000724112961622013
"DF1",0.2,0,0,0,2,0,0,0,0,2,2242,0.000892060660124889,0.000892060660124889
"DF1",0.2,0,0,0,2,1,0,0,3,6,1376,0.00436046511627907,0.00436046511627907
"DF1",0.2,0,0,0,1,0,1,0,0,2,645,0.00310077519379845,0.00310077519379845
"DF1",0.2,0,1,0,0,1,2,0,1,5,1425,0.00350877192982456,0.00350877192982456
"DF1",0.2,0,0,0,1,0,0,0,0,1,1424,0.000702247191011236,0.000702247191011236
"DF1",0.2,0,0,1,0,0,0,0,0,1,858,0.00116550116550117,0.00116550116550117
"DF1",0.2,0,0,0,1,0,0,1,6,8,2498,0.00320256204963971,0.00320256204963971
"DF1",0.2,0,3,5,45,140,106,115,127,541,3464,0.156177829099307,0.156177829099307
"DF1",0.2,1,8,0,323,123,50,131,80,716,3525,0.203120567375887,0.203120567375887
"DF1",0.2,0,0,0,1,1,0,1,1,4,2612,0.00153139356814701,0.00153139356814701
"DF1",0.2,0,0,0,2,1,0,2,2,7,2601,0.00269127258746636,0.00269127258746636
