"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.2,0,0,0,0,2,0,0,0,2,6259,0.000319539862597859,1,2,"0",1,0.000319539862597859,2,0.301029995663981,0,0,0,1837,0.110488169762814,3.07327513081965e-05
"MDCK",0.2,0,1,0,0,6,0,3,2,12,30993,0.000387184202884522,1,12,"0",1,0.000387184202884522,12,1.07918124604762,0,0,0,1838,0.211692962927113,3.07327513081965e-05
"MDCK",0.2,1,1,2,3,6,1,1,5,20,50279,0.000397780385449193,1,20,"1",1,0.000397780385449193,20,1.30102999566398,0,0,0,1839,0.0273672905189044,3.07327513081965e-05
"MDCK",0.2,2,2,6,0,6,1,1,4,22,54665,0.000402451294246776,1,22,"1",1,0.000402451294246776,22,1.34242268082221,0,0,0,1840,0.0117424311716821,3.07327513081965e-05
"MDCK",0.2,0,2,1,1,7,0,1,2,14,31099,0.000450175246792501,1,14,"0",1,0.000450175246792501,14,1.14612803567824,0,0,0,1841,0.118583175723277,3.07327513081965e-05
"MDCK",0.2,0,1,0,2,4,0,3,6,16,26043,0.00061436854433053,1,16,"0",1,0.00061436854433053,16,1.20411998265592,0,0,0,1842,0.364731954295369,3.07327513081965e-05
"MDCK",0.2,0,0,1,8,21,0,8,17,55,61771,0.000890385455958298,1,55,"0",1,0.000890385455958298,55,1.74036268949424,0,0,0,1843,0.449269276845121,3.07327513081965e-05
"MDCK",0.6,0,0,1,0,0,0,0,3,4,35211,0.000113600863366562,1,4,"0",1,0.000113600863366562,4,0.602059991327962,0,0,0,1870,0.0748232086563858,0.000113404936774418
"MDCK",0.6,0,0,0,0,3,0,0,0,3,26198,0.00011451255821055,1,3,"0",1,0.00011451255821055,3,0.477121254719662,0,0,0,1871,0.00802542178792267,0.000113404936774418
"MDCK",0.6,0,0,0,1,0,0,0,4,5,41095,0.000121669302834895,1,5,"0",1,0.000121669302834895,5,0.698970004336019,0,0,0,1872,0.0624974652228576,0.000113404936774418
"MDCK",0.6,1,0,1,0,1,0,0,0,3,24546,0.000122219506233195,1,3,"0",1,0.000122219506233195,3,0.477121254719662,0,0,0,1873,0.0045221217306282,0.000113404936774418
"MDCK",0.6,0,0,0,1,1,0,1,2,5,40476,0.00012352999308232,1,5,"0",1,0.00012352999308232,5,0.698970004336019,0,0,0,1874,0.0107224033995455,0.000113404936774418
"MDCK",0.6,0,0,1,0,0,0,0,1,2,16179,0.000123617034427344,1,2,"0",1,0.000123617034427344,2,0.301029995663981,0,0,0,1875,0.000704617096235792,0.000113404936774418
"MDCK",0.6,0,0,0,0,0,0,2,0,2,15901,0.000125778252940067,1,2,"0",1,0.000125778252940067,2,0.301029995663981,0,0,0,1876,0.0174831771586693,0.000113404936774418
