"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","VAR","HELPER","HELPER_Segments","WT_Test_Prop","VAR_Test_Prop","WT_Prop","VAR_Prop","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","HELPER_Prop","Purity","Test_Log","Minor_Frac","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.02,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,21,40,12,613,279,521,342,513,2347,20989,0.11182047739292,0.000285864024012578,2,4,2341,8,0.333333333333333,0.666666666666667,0.000852151682999574,0.00170430336599915,0.00255645504899872,0.000285864024012578,6,0.997443544951001,0.666666666666667,0.778151250383644,0.259383750127881,0,0,0,19,2,0.000168154525238337
"DF1",0.02,0,1,0,1,1,0,1,1,0,0,2,1,1,0,0,0,17,39,18,724,733,173,680,1009,3402,13310,0.255597295266717,0.00067618332081142,5,4,3393,8,0.555555555555556,0.444444444444444,0.00146972369194591,0.00117577895355673,0.00264550264550265,0.00067618332081142,9,0.997354497354497,0.555555555555556,0.954242509439325,0.424107781973033,0,0,0,20,0.5,0.000168154525238337
"DF1",0.02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,14,10,307,335,118,104,227,1127,4381,0.257247203834741,0.000684775165487332,2,1,1124,8,0.666666666666667,0.333333333333333,0.00177462289263532,0.000887311446317658,0.00266193433895297,0.000684775165487332,3,0.997338065661047,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,21,-0.666666666666667,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,18,11,267,359,145,160,128,1094,2349,0.465730097914006,0.00127713920817369,1,2,1091,8,0.333333333333333,0.666666666666667,0.000914076782449726,0.00182815356489945,0.00274223034734918,0.00127713920817369,3,0.997257769652651,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,22,0,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,7,95,87,22,69,71,357,4359,0.081899518238128,0.000229410415232852,1,0,356,8,1,0,0.00280112044817927,0,0.00280112044817927,0.000229410415232852,1,0.997198879551821,1,0,0,0,0,0,23,-0.666666666666667,0.000168154525238337
"DF1",0.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,25,10,159,128,114,75,170,687,3025,0.227107438016529,0.000661157024793388,1,1,685,8,0.5,0.5,0.00145560407569141,0.00145560407569141,0.00291120815138282,0.000661157024793388,2,0.997088791848617,0.5,0.301029995663981,0.150514997831991,0,0,0,24,1,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,4,121,79,39,25,55,329,1429,0.230230930720784,0.000699790062981106,0,1,328,8,0,1,0,0.00303951367781155,0.00303951367781155,0.000699790062981106,1,0.996960486322188,1,0,0,0,0,0,25,-0.5,0.000168154525238337
"DF1",0.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,18,10,300,99,3,100,108,648,2107,0.307546274323683,0.00094921689606075,2,0,646,8,1,0,0.00308641975308642,0,0.00308641975308642,0.00094921689606075,2,0.996913580246914,1,0.301029995663981,0,0,0,0,26,1,0.000168154525238337
"DF1",0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,92,67,36,44,70,320,1901,0.168332456601789,0.000526038926880589,1,0,319,8,1,0,0.003125,0,0.003125,0.000526038926880589,1,0.996875,1,0,0,0,0,0,27,-0.5,0.000168154525238337
"DF1",0.02,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,9,17,22,641,381,140,129,359,1704,5986,0.284664216505179,0.00100233879051119,2,4,1698,8,0.333333333333333,0.666666666666667,0.00117370892018779,0.00234741784037559,0.00352112676056338,0.00100233879051119,6,0.996478873239437,0.666666666666667,0.778151250383644,0.259383750127881,0,0,0,28,5,0.000168154525238337
