Strain,Cell,Rep,MOI,Time,PFU
MN99,MDCK,2,0.1,24,
MN99,MDCK,2,0.1,48,
MN99,MDCK,3,0.1,0,
MN99,MDCK,3,0.1,2,
MN99,MDCK,3,0.1,4,
MN99,MDCK,3,0.1,6,
MN99,MDCK,3,0.1,8,
MN99,MDCK,3,0.1,12,
MN99,MDCK,3,0.1,16,
MN99,MDCK,3,0.1,24,
MN99,MDCK,3,0.1,48,
MN99,MDCK,1,1,0,
MN99,MDCK,1,1,2,
MN99,MDCK,1,1,4,
MN99,MDCK,1,1,6,
MN99,MDCK,1,1,8,
MN99,MDCK,1,1,12,
MN99,MDCK,1,1,16,
MN99,MDCK,1,1,24,
MN99,MDCK,1,1,48,
MN99,MDCK,2,1,0,
MN99,MDCK,2,1,2,
MN99,MDCK,2,1,4,
MN99,MDCK,2,1,6,
MN99,MDCK,2,1,8,
MN99,MDCK,2,1,12,
MN99,MDCK,2,1,16,
MN99,MDCK,2,1,24,
MN99,MDCK,2,1,48,
MN99,MDCK,3,1,0,
MN99,MDCK,3,1,2,
MN99,MDCK,3,1,4,
MN99,MDCK,3,1,6,
MN99,MDCK,3,1,8,
MN99,MDCK,3,1,12,
MN99,MDCK,3,1,16,
MN99,MDCK,3,1,24,
MN99,MDCK,3,1,48,
MN99,MDCK,1,3,0,
MN99,MDCK,1,3,2,
MN99,MDCK,1,3,4,
MN99,MDCK,1,3,6,
MN99,MDCK,1,3,8,
MN99,MDCK,1,3,12,
MN99,MDCK,1,3,16,
MN99,MDCK,1,3,24,
MN99,MDCK,1,3,48,
MN99,MDCK,2,3,0,
MN99,MDCK,2,3,2,
MN99,MDCK,2,3,4,
MN99,MDCK,2,3,6,
MN99,MDCK,2,3,8,
MN99,MDCK,2,3,12,
MN99,MDCK,2,3,16,
MN99,MDCK,2,3,24,
MN99,MDCK,2,3,48,
MN99,MDCK,1,5,0,
MN99,MDCK,1,5,2,
MN99,MDCK,1,5,4,
MN99,MDCK,1,5,6,
MN99,MDCK,1,5,8,
MN99,MDCK,1,5,12,
MN99,MDCK,1,5,16,
MN99,MDCK,1,5,24,
MN99,MDCK,1,5,48,
MN99,MDCK,2,5,0,
MN99,MDCK,2,5,2,
MN99,MDCK,2,5,4,
MN99,MDCK,2,5,6,
MN99,MDCK,2,5,8,
MN99,MDCK,2,5,12,
MN99,MDCK,2,5,16,
MN99,MDCK,2,5,24,
MN99,MDCK,2,5,48,
MN99,MDCK,3,5,0,
MN99,MDCK,3,5,2,
MN99,MDCK,3,5,4,
MN99,MDCK,3,5,6,
MN99,MDCK,3,5,8,
MN99,MDCK,3,5,12,
MN99,MDCK,3,5,16,
MN99,MDCK,3,5,24,
MN99,MDCK,3,5,48,
MN99,MDCK,1,10,0,
MN99,MDCK,1,10,2,
MN99,MDCK,1,10,4,
MN99,MDCK,1,10,6,
MN99,MDCK,1,10,8,
MN99,MDCK,1,10,12,
MN99,MDCK,1,10,16,
MN99,MDCK,1,10,24,
MN99,MDCK,1,10,48,
MN99,MDCK,2,10,0,
MN99,MDCK,2,10,2,
MN99,MDCK,2,10,4,
MN99,MDCK,2,10,6,
MN99,MDCK,2,10,8,
MN99,MDCK,2,10,12,
MN99,MDCK,2,10,16,
MN99,MDCK,2,10,24,
MN99,MDCK,2,10,48,
MN99,MDCK,1,20,0,
MN99,MDCK,1,20,2,
MN99,MDCK,1,20,4,
MN99,MDCK,1,20,6,
MN99,MDCK,1,20,8,
MN99,MDCK,1,20,12,
MN99,MDCK,1,20,16,
MN99,MDCK,1,20,24,
MN99,MDCK,1,20,48,
MN99,MDCK,2,20,0,
MN99,MDCK,2,20,2,
MN99,MDCK,2,20,4,
MN99,MDCK,2,20,6,
MN99,MDCK,2,20,8,
MN99,MDCK,2,20,12,
MN99,MDCK,2,20,16,
MN99,MDCK,2,20,24,
MN99,MDCK,2,20,48,
MN99,MDCK,3,20,0,
MN99,MDCK,3,20,2,
MN99,MDCK,3,20,4,
MN99,MDCK,3,20,6,
MN99,MDCK,3,20,8,
MN99,MDCK,3,20,12,
MN99,MDCK,3,20,16,
MN99,MDCK,3,20,24,
MN99,MDCK,3,20,48,
MN99,MDCK,4,1,1,18000
MN99,MDCK,4,1,2,100
MN99,MDCK,4,1,4,49
MN99,MDCK,4,1,6,
MN99,MDCK,4,1,8,
MN99,MDCK,4,1,12,265000
MN99,MDCK,4,1,16,1800000
MN99,MDCK,4,1,24,2500000
MN99,MDCK,4,1,48,1800000
MN99,MDCK,5,1,1,40000
MN99,MDCK,5,1,2,50
MN99,MDCK,5,1,4,100
MN99,MDCK,5,1,6,
MN99,MDCK,5,1,8,
MN99,MDCK,5,1,12,195000
MN99,MDCK,5,1,16,1400000
MN99,MDCK,5,1,24,2300000
MN99,MDCK,5,1,48,2600000
MN99,MDCK,6,1,1,37000
MN99,MDCK,6,1,2,200
MN99,MDCK,6,1,4,300
MN99,MDCK,6,1,6,
MN99,MDCK,6,1,8,
MN99,MDCK,6,1,12,150000
MN99,MDCK,6,1,16,2100000
MN99,MDCK,6,1,24,550000
MN99,MDCK,6,1,48,1150000
MN99,MDCK,4,0.1,1,1350
MN99,MDCK,4,0.1,2,100
MN99,MDCK,4,0.1,4,49
MN99,MDCK,4,0.1,6,
MN99,MDCK,4,0.1,8,
MN99,MDCK,4,0.1,12,1150
MN99,MDCK,4,0.1,16,75000
MN99,MDCK,4,0.1,24,770000
MN99,MDCK,4,0.1,48,1550000
MN99,MDCK,5,0.1,1,1600
MN99,MDCK,5,0.1,2,49
MN99,MDCK,5,0.1,4,100
MN99,MDCK,5,0.1,6,
MN99,MDCK,5,0.1,8,
MN99,MDCK,5,0.1,12,150
MN99,MDCK,5,0.1,16,40000
MN99,MDCK,5,0.1,24,2050000
MN99,MDCK,5,0.1,48,1000000
MN99,MDCK,6,0.1,1,2300
MN99,MDCK,6,0.1,2,100
MN99,MDCK,6,0.1,4,50
MN99,MDCK,6,0.1,6,
MN99,MDCK,6,0.1,8,
MN99,MDCK,6,0.1,12,1100
MN99,MDCK,6,0.1,16,110000
MN99,MDCK,6,0.1,24,485000
MN99,MDCK,6,0.1,48,1250000
MN99,MDCK,4,0.05,1,250
MN99,MDCK,4,0.05,2,49
MN99,MDCK,4,0.05,4,49
MN99,MDCK,4,0.05,6,
MN99,MDCK,4,0.05,8,
MN99,MDCK,4,0.05,12,500
MN99,MDCK,4,0.05,16,29000
MN99,MDCK,4,0.05,24,340000
MN99,MDCK,4,0.05,48,870000
MN99,MDCK,5,0.05,1,600
MN99,MDCK,5,0.05,2,49
MN99,MDCK,5,0.05,4,49
MN99,MDCK,5,0.05,6,
MN99,MDCK,5,0.05,8,
MN99,MDCK,5,0.05,12,500
MN99,MDCK,5,0.05,16,11000
MN99,MDCK,5,0.05,24,635000
MN99,MDCK,5,0.05,48,
MN99,MDCK,6,0.05,1,950
MN99,MDCK,6,0.05,2,49
MN99,MDCK,6,0.05,4,49
MN99,MDCK,6,0.05,6,
MN99,MDCK,6,0.05,8,
MN99,MDCK,6,0.05,12,700
MN99,MDCK,6,0.05,16,21000
MN99,MDCK,6,0.05,24,150000
MN99,MDCK,6,0.05,48,675000
MN99,MDCK,4,0.01,1,7450
MN99,MDCK,4,0.01,2,49
MN99,MDCK,4,0.01,4,49
MN99,MDCK,4,0.01,6,
MN99,MDCK,4,0.01,8,
MN99,MDCK,4,0.01,12,150
MN99,MDCK,4,0.01,16,750
MN99,MDCK,4,0.01,24,
MN99,MDCK,4,0.01,48,23500
MN99,MDCK,5,0.01,1,150
MN99,MDCK,5,0.01,2,49
MN99,MDCK,5,0.01,4,49
MN99,MDCK,5,0.01,6,
MN99,MDCK,5,0.01,8,
MN99,MDCK,5,0.01,12,49
MN99,MDCK,5,0.01,16,300
MN99,MDCK,5,0.01,24,10500
MN99,MDCK,5,0.01,48,11000
MN99,MDCK,6,0.01,1,50
MN99,MDCK,6,0.01,2,49
MN99,MDCK,6,0.01,4,49
MN99,MDCK,6,0.01,6,
MN99,MDCK,6,0.01,8,
MN99,MDCK,6,0.01,12,
MN99,MDCK,6,0.01,16,500
MN99,MDCK,6,0.01,24,3650
MN99,MDCK,6,0.01,48,25000
WF10,DF1,1,0.1,0,100
WF10,DF1,1,0.1,2,49
WF10,DF1,1,0.1,4,
WF10,DF1,1,0.1,6,49
WF10,DF1,1,0.1,8,
WF10,DF1,1,0.1,12,50
WF10,DF1,1,0.1,16,2800
WF10,DF1,1,0.1,24,26000
WF10,DF1,1,0.1,48,19000
WF10,DF1,2,0.1,0,100
WF10,DF1,2,0.1,2,49
WF10,DF1,2,0.1,4,
WF10,DF1,2,0.1,6,49
WF10,DF1,2,0.1,8,
WF10,DF1,2,0.1,12,700
WF10,DF1,2,0.1,16,2650
WF10,DF1,2,0.1,24,14500
WF10,DF1,2,0.1,48,11500
WF10,DF1,3,0.1,0,100
WF10,DF1,3,0.1,2,49
WF10,DF1,3,0.1,4,
WF10,DF1,3,0.1,6,49
WF10,DF1,3,0.1,8,
WF10,DF1,3,0.1,12,100
WF10,DF1,3,0.1,16,2850
WF10,DF1,3,0.1,24,9000
WF10,DF1,3,0.1,48,10000
WF10,DF1,1,1,0,2450
WF10,DF1,1,1,2,49
WF10,DF1,1,1,4,
WF10,DF1,1,1,6,49
WF10,DF1,1,1,8,
WF10,DF1,1,1,12,400
WF10,DF1,1,1,16,9500
WF10,DF1,1,1,24,20000
WF10,DF1,1,1,48,62000
WF10,DF1,2,1,0,2550
WF10,DF1,2,1,2,49
WF10,DF1,2,1,4,
WF10,DF1,2,1,6,49
WF10,DF1,2,1,8,
WF10,DF1,2,1,12,4100
WF10,DF1,2,1,16,9500
WF10,DF1,2,1,24,42000
WF10,DF1,2,1,48,62500
WF10,DF1,3,1,0,2000
WF10,DF1,3,1,2,49
WF10,DF1,3,1,4,
WF10,DF1,3,1,6,49
WF10,DF1,3,1,8,
WF10,DF1,3,1,12,3050
WF10,DF1,3,1,16,11100
WF10,DF1,3,1,24,26500
WF10,DF1,3,1,48,71000
WF10,DF1,1,3,0,15500
WF10,DF1,1,3,2,49
WF10,DF1,1,3,4,
WF10,DF1,1,3,6,49
WF10,DF1,1,3,8,
WF10,DF1,1,3,12,4550
WF10,DF1,1,3,16,15500
WF10,DF1,1,3,24,30000
WF10,DF1,1,3,48,83000
WF10,DF1,2,3,0,12000
WF10,DF1,2,3,2,49
WF10,DF1,2,3,4,
WF10,DF1,2,3,6,49
WF10,DF1,2,3,8,
WF10,DF1,2,3,12,4600
WF10,DF1,2,3,16,9650
WF10,DF1,2,3,24,50000
WF10,DF1,2,3,48,48000
WF10,DF1,1,5,0,25000
WF10,DF1,1,5,2,49
WF10,DF1,1,5,4,
WF10,DF1,1,5,6,49
WF10,DF1,1,5,8,
WF10,DF1,1,5,12,4050
WF10,DF1,1,5,16,8500
WF10,DF1,1,5,24,19000
WF10,DF1,1,5,48,59500
WF10,DF1,2,5,0,26000
WF10,DF1,2,5,2,49
WF10,DF1,2,5,4,
WF10,DF1,2,5,6,49
WF10,DF1,2,5,8,
WF10,DF1,2,5,12,4750
WF10,DF1,2,5,16,14500
WF10,DF1,2,5,24,44000
WF10,DF1,2,5,48,65000
WF10,DF1,3,5,0,21500
WF10,DF1,3,5,2,300
WF10,DF1,3,5,4,
WF10,DF1,3,5,6,49
WF10,DF1,3,5,8,
WF10,DF1,3,5,12,12500
WF10,DF1,3,5,16,14500
WF10,DF1,3,5,24,34000
WF10,DF1,3,5,48,62000
WF10,DF1,1,10,0,135000
WF10,DF1,1,10,2,49
WF10,DF1,1,10,4,
WF10,DF1,1,10,6,49
WF10,DF1,1,10,8,
WF10,DF1,1,10,12,7500
WF10,DF1,1,10,16,14000
WF10,DF1,1,10,24,31000
WF10,DF1,1,10,48,68500
WF10,DF1,2,10,0,55500
WF10,DF1,2,10,2,49
WF10,DF1,2,10,4,
WF10,DF1,2,10,6,49
WF10,DF1,2,10,8,
WF10,DF1,2,10,12,6250
WF10,DF1,2,10,16,23500
WF10,DF1,2,10,24,42000
WF10,DF1,2,10,48,63000
WF10,DF1,1,20,0,205000
WF10,DF1,1,20,2,49
WF10,DF1,1,20,4,
WF10,DF1,1,20,6,49
WF10,DF1,1,20,8,
WF10,DF1,1,20,12,6500
WF10,DF1,1,20,16,6300
WF10,DF1,1,20,24,13500
WF10,DF1,1,20,48,50000
WF10,DF1,2,20,0,106500
WF10,DF1,2,20,2,49
WF10,DF1,2,20,4,
WF10,DF1,2,20,6,49
WF10,DF1,2,20,8,
WF10,DF1,2,20,12,8250
WF10,DF1,2,20,16,19000
WF10,DF1,2,20,24,53000
WF10,DF1,2,20,48,72500
WF10,DF1,3,20,0,72500
WF10,DF1,3,20,2,49
WF10,DF1,3,20,4,
WF10,DF1,3,20,6,49
WF10,DF1,3,20,8,
WF10,DF1,3,20,12,11000
WF10,DF1,3,20,16,13000
WF10,DF1,3,20,24,39500
WF10,DF1,3,20,48,69500
WF10,DF1,4,1,1,8650
WF10,DF1,4,1,2,49
WF10,DF1,4,1,4,49
WF10,DF1,4,1,6,
WF10,DF1,4,1,8,
WF10,DF1,4,1,12,2650
WF10,DF1,4,1,16,8950
WF10,DF1,4,1,24,31500
WF10,DF1,4,1,48,101500
WF10,DF1,5,1,1,10000
WF10,DF1,5,1,2,150
WF10,DF1,5,1,4,49
WF10,DF1,5,1,6,
WF10,DF1,5,1,8,
WF10,DF1,5,1,12,1950
WF10,DF1,5,1,16,10000
WF10,DF1,5,1,24,80000
WF10,DF1,5,1,48,140000
WF10,DF1,6,1,1,10000
WF10,DF1,6,1,2,49
WF10,DF1,6,1,4,150
WF10,DF1,6,1,6,
WF10,DF1,6,1,8,
WF10,DF1,6,1,12,3600
WF10,DF1,6,1,16,29000
WF10,DF1,6,1,24,55000
WF10,DF1,6,1,48,185000
WF10,DF1,4,0.1,1,400
WF10,DF1,4,0.1,2,49
WF10,DF1,4,0.1,4,49
WF10,DF1,4,0.1,6,
WF10,DF1,4,0.1,8,
WF10,DF1,4,0.1,12,550
WF10,DF1,4,0.1,16,1950
WF10,DF1,4,0.1,24,5100
WF10,DF1,4,0.1,48,34000
WF10,DF1,5,0.1,1,350
WF10,DF1,5,0.1,2,50
WF10,DF1,5,0.1,4,49
WF10,DF1,5,0.1,6,
WF10,DF1,5,0.1,8,
WF10,DF1,5,0.1,12,300
WF10,DF1,5,0.1,16,3050
WF10,DF1,5,0.1,24,9000
WF10,DF1,5,0.1,48,26000
WF10,DF1,6,0.1,1,550
WF10,DF1,6,0.1,2,49
WF10,DF1,6,0.1,4,49
WF10,DF1,6,0.1,6,
WF10,DF1,6,0.1,8,
WF10,DF1,6,0.1,12,950
WF10,DF1,6,0.1,16,3500
WF10,DF1,6,0.1,24,10500
WF10,DF1,6,0.1,48,38000
WF10,DF1,4,0.05,1,200
WF10,DF1,4,0.05,2,49
WF10,DF1,4,0.05,4,49
WF10,DF1,4,0.05,6,
WF10,DF1,4,0.05,8,
WF10,DF1,4,0.05,12,49
WF10,DF1,4,0.05,16,1100
WF10,DF1,4,0.05,24,2450
WF10,DF1,4,0.05,48,7750
WF10,DF1,5,0.05,1,49
WF10,DF1,5,0.05,2,49
WF10,DF1,5,0.05,4,49
WF10,DF1,5,0.05,6,
WF10,DF1,5,0.05,8,
WF10,DF1,5,0.05,12,40
WF10,DF1,5,0.05,16,1550
WF10,DF1,5,0.05,24,6500
WF10,DF1,5,0.05,48,16000
WF10,DF1,6,0.05,1,
WF10,DF1,6,0.05,2,50
WF10,DF1,6,0.05,4,49
WF10,DF1,6,0.05,6,
WF10,DF1,6,0.05,8,
WF10,DF1,6,0.05,12,200
WF10,DF1,6,0.05,16,
WF10,DF1,6,0.05,24,5900
WF10,DF1,6,0.05,48,8500
WF10,DF1,4,0.01,1,49
WF10,DF1,4,0.01,2,49
WF10,DF1,4,0.01,4,49
WF10,DF1,4,0.01,6,
WF10,DF1,4,0.01,8,
WF10,DF1,4,0.01,12,49
WF10,DF1,4,0.01,16,49
WF10,DF1,4,0.01,24,300
WF10,DF1,4,0.01,48,1250
WF10,DF1,5,0.01,1,49
WF10,DF1,5,0.01,2,49
WF10,DF1,5,0.01,4,49
WF10,DF1,5,0.01,6,
WF10,DF1,5,0.01,8,
WF10,DF1,5,0.01,12,49
WF10,DF1,5,0.01,16,49
WF10,DF1,5,0.01,24,450
WF10,DF1,5,0.01,48,1200
WF10,DF1,6,0.01,1,100
WF10,DF1,6,0.01,2,49
WF10,DF1,6,0.01,4,49
WF10,DF1,6,0.01,6,
WF10,DF1,6,0.01,8,
WF10,DF1,6,0.01,12,49
WF10,DF1,6,0.01,16,350
WF10,DF1,6,0.01,24,700
WF10,DF1,6,0.01,48,350
NL09,MDCK,4,0.01,1,49
NL09,MDCK,4,0.05,1,49
NL09,MDCK,4,0.1,1,49
NL09,MDCK,4,1,1,49
NL09,MDCK,4,0.01,2,49
NL09,MDCK,4,0.05,2,250
NL09,MDCK,4,0.1,2,400
NL09,MDCK,4,1,2,700
NL09,MDCK,4,0.01,4,49
NL09,MDCK,4,0.05,4,49
NL09,MDCK,4,0.1,4,49
NL09,MDCK,4,1,4,49
NL09,MDCK,4,0.01,12,50
NL09,MDCK,4,0.05,12,250
NL09,MDCK,4,0.1,12,250
NL09,MDCK,4,1,12,1700
NL09,MDCK,4,0.01,16,1450
NL09,MDCK,4,0.05,16,7000
NL09,MDCK,4,0.1,16,9500
NL09,MDCK,4,1,16,22500
NL09,MDCK,4,0.01,24,5750
NL09,MDCK,4,0.05,24,19000
NL09,MDCK,4,0.1,24,37500
NL09,MDCK,4,1,24,90500
NL09,MDCK,4,0.01,48,11000
NL09,MDCK,4,0.05,48,48000
NL09,MDCK,4,0.1,48,59500
NL09,MDCK,4,1,48,145000
NL09,MDCK,5,0.01,1,49
NL09,MDCK,5,0.05,1,49
NL09,MDCK,5,0.1,1,49
NL09,MDCK,5,1,1,49
NL09,MDCK,5,0.01,2,49
NL09,MDCK,5,0.05,2,49
NL09,MDCK,5,0.1,2,49
NL09,MDCK,5,1,2,49
